date,stock_price,year,optimism,anxiety,sadness,surprise,neutral,anger_disgust
,,,,,,,,
2010-01-01,6.440331935882568,2010,7.0,6.0,2.5,6.0,6.5,4.5
2010-02-01,5.860126495361328,2010,7.0,6.0,2.5,6.0,6.5,4.5
2010-03-01,6.2892608642578125,2010,7.0,6.0,2.5,6.0,6.5,4.5
2010-04-01,7.101184844970703,2010,7.0,6.0,2.5,6.0,6.5,4.5
2010-05-01,8.015429496765137,2010,7.0,6.0,2.5,6.0,6.5,4.5
2010-06-01,7.849313735961914,2010,7.0,6.0,2.5,6.0,6.5,4.5
2010-07-01,7.477656364440918,2010,7.0,6.0,2.5,6.0,6.5,4.5
2010-08-01,7.880005359649658,2010,7.0,6.0,2.5,6.0,6.5,4.5
2010-09-01,7.533332347869873,2010,7.0,6.0,2.5,6.0,6.5,4.5
2010-10-01,8.502041816711426,2010,7.0,6.0,2.5,6.0,6.5,4.5
2010-11-01,9.15386962890625,2010,7.0,6.0,2.5,6.0,6.5,4.5
2010-12-01,9.521615982055664,2010,7.0,6.0,2.5,6.0,6.5,4.5
2011-01-01,9.917945861816406,2011,5.666666666666667,3.3333333333333335,4.666666666666667,3.6666666666666665,6.333333333333333,1.3333333333333333
2011-02-01,10.38319206237793,2011,5.666666666666667,3.3333333333333335,4.666666666666667,3.6666666666666665,6.333333333333333,1.3333333333333333
2011-03-01,10.511996269226074,2011,5.666666666666667,3.3333333333333335,4.666666666666667,3.6666666666666665,6.333333333333333,1.3333333333333333
2011-04-01,10.369049072265625,2011,5.666666666666667,3.3333333333333335,4.666666666666667,3.6666666666666665,6.333333333333333,1.3333333333333333
2011-05-01,10.420811653137207,2011,5.666666666666667,3.3333333333333335,4.666666666666667,3.6666666666666665,6.333333333333333,1.3333333333333333
2011-06-01,10.397639274597168,2011,5.666666666666667,3.3333333333333335,4.666666666666667,3.6666666666666665,6.333333333333333,1.3333333333333333
2011-07-01,10.329928398132324,2011,5.666666666666667,3.3333333333333335,4.666666666666667,3.6666666666666665,6.333333333333333,1.3333333333333333
2011-08-01,11.939635276794434,2011,5.666666666666667,3.3333333333333335,4.666666666666667,3.6666666666666665,6.333333333333333,1.3333333333333333
2011-09-01,11.466565132141113,2011,5.666666666666667,3.3333333333333335,4.666666666666667,3.6666666666666665,6.333333333333333,1.3333333333333333
2011-10-01,11.27306079864502,2011,5.666666666666667,3.3333333333333335,4.666666666666667,3.6666666666666665,6.333333333333333,1.3333333333333333
2011-11-01,11.932414054870605,2011,5.666666666666667,3.3333333333333335,4.666666666666667,3.6666666666666665,6.333333333333333,1.3333333333333333
2011-12-01,11.674208641052246,2011,5.666666666666667,3.3333333333333335,4.666666666666667,3.6666666666666665,6.333333333333333,1.3333333333333333
2012-01-01,12.37539005279541,2012,4.0,7.0,5.0,3.0,5.5,6.0
2012-02-01,13.728398323059082,2012,4.0,7.0,5.0,3.0,5.5,6.0
2012-03-01,16.385059356689453,2012,4.0,7.0,5.0,3.0,5.5,6.0
2012-04-01,18.616804122924805,2012,4.0,7.0,5.0,3.0,5.5,6.0
2012-05-01,17.518390655517578,2012,4.0,7.0,5.0,3.0,5.5,6.0
2012-06-01,16.8822078704834,2012,4.0,7.0,5.0,3.0,5.5,6.0
2012-07-01,17.8310604095459,2012,4.0,7.0,5.0,3.0,5.5,6.0
2012-08-01,18.261093139648438,2012,4.0,7.0,5.0,3.0,5.5,6.0
2012-09-01,20.39948844909668,2012,4.0,7.0,5.0,3.0,5.5,6.0
2012-10-01,19.92861557006836,2012,4.0,7.0,5.0,3.0,5.5,6.0
2012-11-01,18.029109954833984,2012,4.0,7.0,5.0,3.0,5.5,6.0
2012-12-01,17.797225952148438,2012,4.0,7.0,5.0,3.0,5.5,6.0
2013-01-01,16.66901206970215,2013,6.833333333333333,3.3333333333333335,2.8333333333333335,4.5,6.833333333333333,1.1666666666666667
2013-02-01,13.772282600402832,2013,6.833333333333333,3.3333333333333335,2.8333333333333335,4.5,6.833333333333333,1.1666666666666667
2013-03-01,13.145599365234375,2013,6.833333333333333,3.3333333333333335,2.8333333333333335,4.5,6.833333333333333,1.1666666666666667
2013-04-01,13.097963333129883,2013,6.833333333333333,3.3333333333333335,2.8333333333333335,4.5,6.833333333333333,1.1666666666666667
2013-05-01,13.414945602416992,2013,6.833333333333333,3.3333333333333335,2.8333333333333335,4.5,6.833333333333333,1.1666666666666667
