Title,PublishedAt,FullContent,URL
"Deal Alert: T-Mobile's Samsung Vibrant $0.01 Again On Amazon, This Time Including Upgrades For Existing Customers",2010-10-30T00:32:10Z,URL skipped due to domain: https://www.androidpolice.com/2010/10/29/deal-alert-t-mobiles-samsung-vibrant-0-01-again-on-amazon-this-time-including-upgrades-for-existing-customers/,https://www.androidpolice.com/2010/10/29/deal-alert-t-mobiles-samsung-vibrant-0-01-again-on-amazon-this-time-including-upgrades-for-existing-customers/
"Scorching Hot: HTC EVO 4G Now $99.99 On Amazon.com, Free Of Shipping, Activation, And Tax Charges",2010-10-17T01:48:22Z,URL skipped due to domain: https://www.androidpolice.com/2010/10/16/scorching-hot-htc-evo-4g-now-99-99-on-amazon-com-free-of-shipping-activation-and-tax-charges/,https://www.androidpolice.com/2010/10/16/scorching-hot-htc-evo-4g-now-99-99-on-amazon-com-free-of-shipping-activation-and-tax-charges/
Amazon Now Selling The Motorola Droid 2 For Just A Penny,2010-10-14T00:52:51Z,URL skipped due to domain: https://www.androidpolice.com/2010/10/13/amazon-now-selling-the-motorola-droid-2-for-just-a-penny/,https://www.androidpolice.com/2010/10/13/amazon-now-selling-the-motorola-droid-2-for-just-a-penny/
Next Up To Try And Overthrow The Android Market: Amazon,2010-09-28T06:15:25Z,URL skipped due to domain: https://www.androidpolice.com/2010/09/27/next-up-to-try-and-overthrow-the-android-market-amazon/,https://www.androidpolice.com/2010/09/27/next-up-to-try-and-overthrow-the-android-market-amazon/
[Updated x3] All Four Variants Of ASUS Transformer Prime Return To Amazon With Free One-Day Shipping In Tow,2011-12-21T05:15:00Z,URL skipped due to domain: https://www.androidpolice.com/2011/12/20/pre-orders-for-all-four-variants-of-asus-transformer-prime-return-to-amazon-with-free-one-day-shipping-in-tow/,https://www.androidpolice.com/2011/12/20/pre-orders-for-all-four-variants-of-asus-transformer-prime-return-to-amazon-with-free-one-day-shipping-in-tow/
"[Deal Alert] Gameloft Offering 6 Games For $0.99 Each In The Amazon Appstore, Most For The Kindle Fire",2011-12-20T03:17:21Z,URL skipped due to domain: https://www.androidpolice.com/2011/12/19/deal-alert-gameloft-offering-6-games-for-0-99-each-in-the-amazon-appstore-most-for-the-kindle-fire/,https://www.androidpolice.com/2011/12/19/deal-alert-gameloft-offering-6-games-for-0-99-each-in-the-amazon-appstore-most-for-the-kindle-fire/
Case Review: OtterBox Commuter For The DROID BIONIC,2011-10-08T00:38:00Z,URL skipped due to domain: https://www.androidpolice.com/2011/10/07/case-review-otterbox-commuter-for-the-droid-bionic-if-you-truly-need-a-case-buy-this-one/,https://www.androidpolice.com/2011/10/07/case-review-otterbox-commuter-for-the-droid-bionic-if-you-truly-need-a-case-buy-this-one/
[Deal Alert] HTC ThunderBolt For A Penny With A New Agreement From Amazon Wireless,2011-08-25T22:05:18Z,URL skipped due to domain: https://www.androidpolice.com/2011/08/25/deal-alert-htc-thunderbolt-for-a-penny-with-a-new-agreement-from-amazon-wireless/,https://www.androidpolice.com/2011/08/25/deal-alert-htc-thunderbolt-for-a-penny-with-a-new-agreement-from-amazon-wireless/
"Samsung Galaxy Tab 8.9 3G Available For Pre-Order On Amazon UK For £605.34, Launches On August 12th",2011-08-04T05:10:19Z,URL skipped due to domain: https://www.androidpolice.com/2011/08/03/samsung-galaxy-tab-8-9-3g-available-for-pre-order-on-amazon-uk-for-605-34-launches-on-august-12th/,https://www.androidpolice.com/2011/08/03/samsung-galaxy-tab-8-9-3g-available-for-pre-order-on-amazon-uk-for-605-34-launches-on-august-12th/
"[Scorching Hot] Motorola Droid 3 Now $69.99 For New Accounts, $129.99 For Upgrades (Normally $199.99) At Amazon Wireless",2011-07-16T04:04:05Z,URL skipped due to domain: https://www.androidpolice.com/2011/07/15/scorching-hot-deal-alert-motorola-droid-3-now-69-99-for-new-accounts-129-99-for-upgrades-at-amazon-wireless/,https://www.androidpolice.com/2011/07/15/scorching-hot-deal-alert-motorola-droid-3-now-69-99-for-new-accounts-129-99-for-upgrades-at-amazon-wireless/
"Apple To GetJar: ""Stop Using 'App Store' Or We'll Sue You"" GetJar: ""No.""",2011-07-10T01:07:26Z,URL skipped due to domain: https://www.androidpolice.com/2011/07/09/apple-to-getjar-stop-using-app-store-or-well-sue-you-getjar-no/,https://www.androidpolice.com/2011/07/09/apple-to-getjar-stop-using-app-store-or-well-sue-you-getjar-no/
"We Sit Down With The Head Of The Amazon Appstore And Talk Refunds, Reviews, Device Filtering, And More",2011-07-07T04:00:00Z,URL skipped due to domain: https://www.androidpolice.com/2011/07/06/we-sit-down-with-the-head-of-the-amazon-appstore-and-talk-refunds-reviews-device-filtering-and-more/,https://www.androidpolice.com/2011/07/06/we-sit-down-with-the-head-of-the-amazon-appstore-and-talk-refunds-reviews-device-filtering-and-more/
"Exclusive: Amazon To Introduce 4.3-Inch Dual-Core ""Blaze"" Smartphone This Summer [Leak, Pictures]",2011-04-02T00:58:00Z,URL skipped due to domain: https://www.androidpolice.com/2011/04/01/exclusive-amazon-to-introduce-4-3-inch-dual-core-blaze-smartphone-this-summer-leak-pictures/,https://www.androidpolice.com/2011/04/01/exclusive-amazon-to-introduce-4-3-inch-dual-core-blaze-smartphone-this-summer-leak-pictures/
Apple Sues Amazon Over Use Of 'App Store' Name,2011-03-22T05:52:11Z,URL skipped due to domain: https://www.androidpolice.com/2011/03/21/apple-sues-amazon-over-use-of-app-store-name/,https://www.androidpolice.com/2011/03/21/apple-sues-amazon-over-use-of-app-store-name/
[Deal Alert] Sprint's Galaxy Note II Now $150 On Amazon Wireless For New Customers In Both White And 'Titanium',2012-12-08T23:22:49Z,URL skipped due to domain: https://www.androidpolice.com/2012/12/08/deal-alert-sprints-galaxy-note-ii-now-150-on-amazon-wireless-for-new-customers-in-both-white-and-titanium-black/,https://www.androidpolice.com/2012/12/08/deal-alert-sprints-galaxy-note-ii-now-150-on-amazon-wireless-for-new-customers-in-both-white-and-titanium-black/
[New App] Tablet-Friendly Amazon Mobile Hits The Play Store,2012-11-21T05:46:03Z,URL skipped due to domain: https://www.androidpolice.com/2012/11/20/new-app-tablet-optimized-amazon-mobile-hits-the-play-store/,https://www.androidpolice.com/2012/11/20/new-app-tablet-optimized-amazon-mobile-hits-the-play-store/
Onyx International Working On Android-Powered E Ink Smartphone [Video],2012-10-19T01:05:49Z,URL skipped due to domain: https://www.androidpolice.com/2012/10/18/onyx-international-working-on-android-powered-e-ink-smartphone-video/,https://www.androidpolice.com/2012/10/18/onyx-international-working-on-android-powered-e-ink-smartphone-video/
[Weekend Poll] Will You Be Buying A New Kindle?,2012-09-16T21:30:00Z,URL skipped due to domain: https://www.androidpolice.com/2012/09/16/weekend-poll-will-you-be-buying-a-new-kindle/,https://www.androidpolice.com/2012/09/16/weekend-poll-will-you-be-buying-a-new-kindle/
