date,stock_price,year,optimism,anxiety,sadness,surprise,neutral,anger_disgust
,,,,,,,,
2010-06-01,1.5926669836044312,2010,0,0,0,0,0,0
2010-07-01,1.4639999866485596,2010,0,0,0,0,0,0
2010-08-01,1.3946670293807983,2010,0,0,0,0,0,0
2010-09-01,1.363332986831665,2010,0,0,0,0,0,0
2010-10-01,1.3733329772949219,2010,0,0,0,0,0,0
2010-11-01,1.4273329973220825,2010,0,0,0,0,0,0
2010-12-01,2.2899999618530273,2010,0,0,0,0,0,0
2011-01-01,1.7746670246124268,2011,0,0,0,0,0,0
2011-02-01,1.593999981880188,2011,0,0,0,0,0,0
2011-03-01,1.5959999561309814,2011,0,0,0,0,0,0
2011-04-01,1.7773330211639404,2011,0,0,0,0,0,0
2011-05-01,1.8300000429153442,2011,0,0,0,0,0,0
2011-06-01,1.901332974433899,2011,0,0,0,0,0,0
2011-07-01,1.9346669912338257,2011,0,0,0,0,0,0
2011-08-01,1.9179999828338623,2011,0,0,0,0,0,0
2011-09-01,1.600000023841858,2011,0,0,0,0,0,0
2011-10-01,1.5820000171661377,2011,0,0,0,0,0,0
2011-11-01,1.925333023071289,2011,0,0,0,0,0,0
2011-12-01,2.173332929611206,2011,0,0,0,0,0,0
2012-01-01,1.871999979019165,2012,0,0,0,0,0,0
2012-02-01,1.972000002861023,2012,0,0,0,0,0,0
2012-03-01,2.2939999103546143,2012,0,0,0,0,0,0
2012-04-01,2.438667058944702,2012,0,0,0,0,0,0
2012-05-01,2.252000093460083,2012,0,0,0,0,0,0
2012-06-01,1.8766670227050781,2012,0,0,0,0,0,0
2012-07-01,2.0266671180725098,2012,0,0,0,0,0,0
2012-08-01,1.75,2012,0,0,0,0,0,0
2012-09-01,1.8760000467300415,2012,0,0,0,0,0,0
2012-10-01,1.944000005722046,2012,0,0,0,0,0,0
2012-11-01,1.9500000476837158,2012,0,0,0,0,0,0
2012-12-01,2.308000087738037,2012,0,0,0,0,0,0
2013-01-01,2.357332944869995,2013,3.0,7.0,2.0,4.0,6.0,3.0
2013-02-01,2.553333044052124,2013,3.0,7.0,2.0,4.0,6.0,3.0
2013-03-01,2.309999942779541,2013,3.0,7.0,2.0,4.0,6.0,3.0
2013-04-01,2.9286670684814453,2013,3.0,7.0,2.0,4.0,6.0,3.0
