Title,PublishedAt,FullContent,URL
"Tesla Motors Hires Doug Field, Apple's VP of Mac Hardware Engineering, to Lead New Vehicle Development",2013-10-24T18:55:07Z,"Upstart automobile manufacturer Tesla Motors has announced the hiring of Doug Field, former vice president of Mac Hardware Engineering, to lead its development of new vehicles.

Field has been at Apple for more than 5 years and led the development of recent models of the MacBook Air, MacBook Pro, and iMac -- all of which have seen significant redesigns in past years.



""Doug has demonstrated the leadership and technical talent to develop and deliver outstanding products, including what are widely considered the best computers in the world,"" said Elon Musk, Tesla co-founder and CEO. ""Tesla’s future depends on engineers who can create the most innovative, technologically advanced vehicles in the world. Doug’s experience in both consumer electronics and traditional automotive makes him an important addition to our leadership team."" ""Until Tesla came along, I had never seriously considered leaving Apple,"" said Field. ""I started my career with the goal of creating incredible cars, but ultimately left the auto industry in search of fast-paced, exciting engineering challenges elsewhere. As the first high tech auto company in modern history, Tesla is at last an opportunity for me and many others to pursue the dream of building the best cars in the world—while being part of one of the most innovative companies in Silicon Valley.""

Field began his career at Ford as a development engineer after graduating MIT, before moving on to Segway and then to Apple.",https://www.macrumors.com/2013/10/24/tesla-motors-hires-doug-field-apples-vp-of-mac-hardware-engineering-to-lead-new-vehicle-development/
Mercedes Supersized ‘Hyperscreen’ Display Aims to Outdo Tesla's Hallmark Touchscreen Ola Kallenius,2013-09-10T18:30:00Z,"Daimler AG's unveiled a new display screen on Thursday that will cover almost the entire dashboard of its luxury Mercedes-Benz models, in a bid to outdo Tesla's hallmark touchscreen infotainment system.

In a video presentation, Daimler Chief Executive Ola Kallenius said the new Hyperscreen - which at 56 inches (142.24 cm) in width dwarfs Tesla's vaunted 17-inch screen - will make its debut in the EQS later this year, Mercedes' new fully electric sedan.

The EQS, with a driving range of 700 kilometres (435 miles), will be the first in a family of four vehicles built on the same all-electric platform.

""There's huge customer demand for this screen,"" Kallenius told reporters on a conference call. He said the dashboard would be an optional feature in the EQS, ""but we expect a very high take-up rate,"" from buyers.

As well as including vehicle functions such as the speedometer, music, and navigation features, the screen will allow passengers to access some vehicle functions and, in some markets, to watch television without disturbing the driver.

Kallenius said besides revenue from the screens themselves, Daimler expects future profitable growth of subscription services, such as maps or entertainment customers will download.

""It is part of our business strategy to increase this profit pool of recurring revenues,"" he said.

Tesla has dominated global electric vehicle sales and traditional carmakers like Daimler have been pushing to develop vehicles to compete for market share.

The pressure to outdo Tesla has been heightened by tighter emissions standards in the European Union and China, and the decision by a growing number of countries to start banning sales of new petrol or diesel cars as early as 2030.

© Thomson Reuters 2020

What will be the most exciting tech launch of 2021? We discussed this on Orbital, our weekly technology podcast, which you can subscribe to via Apple Podcasts, Google Podcasts, or RSS, download the episode, or just hit the play button below.

(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)

Affiliate links may be automatically generated - see our ethics statement for details.",https://gadgets.ndtv.com/transportation/news/mercedes-hyperscreen-car-display-daimler-ag-benz-tesla-touchscreen-2349476
Elon Musk's chilling warning against AI: 'It's like summoning a demon',2014-10-27T10:08:54Z,Error fetching full content.,https://www.itproportal.com/2014/10/27/elon-musk-creating-advanced-ai-is-like-summoning-a-demon-tesla-artificial-intelligence/
Elon Musk Dogecoin Support on Twitter Makes Cryptocurrency Soar 50 Percent,2014-07-17T18:30:00Z,"Cryptocurrency Dogecoin surged more than 50 percent on Thursday after billionaire entrepreneur Elon Musk tweeted his support for it, two days after he said he was to take a break from Twitter ""for a while"".

Dogecoin jumped to $0.05798 (roughly Rs. 4) according to data on blockchain and cryptocurrency website Coindesk. Musk first tweeted ""Doge"" and immediately followed it up with ""Dogecoin is the people's crypto"".

Dogecoin is the people's crypto — Elon Musk (@elonmusk) February 4, 2021

The Tesla chief's tweets about certain companies and cryptocurrencies have sent their prices soaring in recent weeks. Shares in GameStop, Etsy, and CD Projekt have jumped following comments on his Twitter account about them.

In the crypto world, him putting a ""#bitcoin"" tag on his Twitter bio sent the most popular currency flying last Friday. He has since taken the tag off.

Meanwhile, rival cryptocurrency ethereum is also on a record setting spree as investors buy it before the launch of ethereum futures on the Chicago Mercantile Exchange next week.

Ethereum rose to record high of $1,698.56 (roughly Rs. 1.2 lakhs) before giving up some of those gains to trade 2.7 percent lower in early london trading. Bitcoin, the most popular crypto currency, also fell 1.2 percent to $37,184 (roughly Rs. 27 lakhs).

Cryptocurrencies are gaining traction with more mainstream investors. The euphoria boosted the total market value of all cryptocurrencies above $1 trillion (roughly Rs. 72,97,400 crores) for the first time earlier in January.

© Thomson Reuters 2021

Is LG Wing's unique design alone enough to help it succeed in India? We discussed this on Orbital, our weekly technology podcast, which you can subscribe to via Apple Podcasts, Google Podcasts, or RSS, download the episode, or just hit the play button below.

Affiliate links may be automatically generated - see our ethics statement for details.",https://gadgets.ndtv.com/internet/news/elon-musk-dogecoin-price-increase-50-percent-twitter-support-cryptocurrency-bitcoin-coindesk-blockchain-2363056
"Tesla CEO Confirms 'Conversations' With Apple, Says Any Acquisition 'Very Unlikely'",2014-02-20T01:55:30Z,"Following a report earlier this week suggesting Apple had considered purchasing Tesla, Tesla CEO Elon Musk today confirmed in an interview with Bloomberg Television that his company ""had conversations"" with Apple. Musk went on to say that he could not comment on whether the conversations had revolved around any kind of acquisition, but he did confirm that at the current time, an acquisition of Tesla seems ""very unlikely.""

If one or more companies had approached us last year about such things there's no way we could really comment on that. We had conversations with Apple, I can't comment on whether those revolved around any kind of acquisition.



News of Apple's meeting with Tesla first came to light over the weekend, when the San Francisco Chronicle reported Musk had met with Adrian Perica, Apple's head of acquisitions, and possibly Apple CEO Tim Cook. While the site speculated the meeting pertained to a possible acquisition, other sources have since suggested Apple may have been meeting with Tesla over iOS device integration in the company's electric cars or about a potential battery deal between the two.

As noted by The Los Angeles Times, Musk last month announced plans for a massive lithium-ion battery plant, which will be constructed in partnership with ""some other companies."" Tesla is expected to make an announcement about the plant later this month, and it's possible Apple, which uses lithium-ion batteries for many of its portable devices, could be involved in that venture.

If there was a scenario where it seemed like it would be more likely that we would be able to create the mass market sort of affordable, compelling car then possibly it would make sense to entertain those discussions. I don't currently see any scenario that would improve that probability, so that's why I think it's very unlikely.

When asked whether Tesla was for sale, Musk told the interviewer that an acquisition was unlikely because the company needs to stay ""super focused"" on its goal of creating an affordable electric car, though he did not rule out the possibility of an acquisition entirely.

Apple CEO Tim Cook recently said the company is open to making large acquisitions if it makes sense, but he has also said that Apple will focus on the very few products that ""deserve all our energy."" Apple currently holds nearly $160 billion in cash while Tesla has a market cap of approximately $24 billion.",https://www.macrumors.com/2014/02/19/tesla-ceo-acquisition-unlikely/
Here's How BMW and Porsche Plan to Beat Tesla,2015-12-07T18:12:01Z,"The future of automotive technology won’t be dictated only by the experiments and blue-sky ideas of Elon Musk.

Automakers in Germany know this, and intend to disrupt whatever perceived control the Tesla CEO has in the electric vehicle game.

On Friday, Porsche OK’d production on its first “100 percent electrically powered” vehicle, while earlier in the month, BMW chief Harald Krüger criticized Tesla’s autopilot feature, saying that his company will unveil superior autonomous driving tech when its plans are fully hatched.

While competition is something that Musk welcomes, he can’t be especially thrilled about Krüger taking rhetorical jabs at Tesla’s autopilot software.

Krüger’s disdain might be somewhat plausable from a competitor playing catch-up — especially so when examining Autopilot’s somewhat tenuous, albeit positive beginnings — but he believes that BMW will develop self-driving technology, and roll it out more seamlessly than Tesla — which has come in for criticism as well as “life-saving” praise.

Speaking with German website Handelsblatt, Krüger likened Tesla to a player in the “app-industry,” which it is not:

“In the app industry, you can launch products on the market that are 70 to 80 percent ready and then complete their development with the customer. That is absolutely impossible with safety features in a car.

Autopilot is still in its beta-phase, adapting steadily as more Teslas dot highways across the world. Krüger claims that BMW’s rebuttal to autopilot won’t follow a similar trajectory, though, noting that “our technology must be 100 percent reliable,” before it hits the market.

BMW Chief Executive Harald Krüger Getty

The BMW i3 is the company's first electric car. BMW

BMW released the its own electric vehicle, the i3, in 2013, and the company’s BMW 7 series maintains a self-parking function.

Porsche also poses a threat to Tesla, and announced Friday it would start production on its large-scale EV project called Mission E. Porsche executives weren’t quick to fling any barbs in Tesla’s direction, although they’re touting the Mission E prototype vehicle, in addition to the company’s new Factory 4.0 — which will extend production on electric motors following a 700 million Euro investment — as the “dawn of a new age.”

Porsche extolled the Mission E’s specs in a press release on Friday:

“In concept form, the four-door car with four individual seats has a system power output of over 600 hp (440 kW). The vehicle thus is expected to achieve both acceleration of 0 to 100 km/h in under 3.5 seconds with a planned maximum range of more than 500 kilometers. When charged using an 800-volt charger unit which is planned to be specially developed for the car, which is twice as powerful as today’s quick-charge systems, the lithium-ion batteries integrated within the vehicle floor could be recharged to the 80 percent level after just 15 minutes.”

Porsche's Mission E prototype Porsche Motors

Both BMW and Porsche will enter the EV fray with a decidedly trusted brand and legacy of customer satisfaction, but they’ll likely be scrambling to match what Tesla has already cemented for itself: The company unveiled the size and scope of its gargantuan production facility — the Gigafactory — last month, and hopes to be producing 500,000 vehicles by 2020.

German automakers will also have the arduous task of overshadowing the glut of nearly 1,000 Tesla chargers already lining highways across the United States.",https://www.inverse.com/article/8917-how-bmw-porshe-plan-to-beat-tesla
"Elon Musk: If You Don't Make It at Tesla, You Go Work at Apple",2015-10-09T01:18:59Z,"In a new interview with German newspaper Handelsblatt (via Business Insider), Tesla CEO Elon Musk spoke about his thoughts on the much-rumored Apple Car. Additionally, Musk was asked what he thought about Apple hiring away some of Tesla's ""most important engineers.""



Important engineers? They have hired people we’ve fired. We always jokingly call Apple the “Tesla Graveyard.” If you don’t make it at Tesla, you go work at Apple. I’m not kidding.

Musk was then asked whether he takes Apple's car ambitions seriously, to which he joked ""did you ever take a look at the Apple Watch?"" He went on to say that it was good Apple was moving toward and investing in a car and that it's the ""next logical thing"" for the company to offer ""significant innovation.""

The Tesla CEO went on to poke fun at the newly announced Apple Pencil and iPad Pro, saying that innovation in the form of a new pencil or a bigger iPad are ""not relevant enough."" However, Musk cautions that cars are far more complex than smartphones and smartwatches. ""You can't just go to a supplier like Foxconn and say: Build me a car,"" Musk told the German newspaper.

Apple and Tesla have hired each other's employees over the course of the last year, with Musk saying that Apple has hired away ""very few people"" from the car company despite offering $250,000 signing bonuses and 60 percent salary increases to its employees. Tesla has hired nearly 150 Apple employees.",https://www.macrumors.com/2015/10/08/elon-musk-apple-hires-fired-tesla-workers/
Virtual reality gear Tesla Suit hopes to make gaming a lot more touchy-feely,2015-05-12T16:00:14Z,"Video game technology continues to find ways to make things more interactive with the recent releases of VR headsets such as the Oculus Rift and Sony’s Project Morpheus. Still, even with those immersive improvements players aren’t getting a full sense of their virtual environments.

For example, playing a first-person shooter without the actual fear of feeling a bullet slam into your chest can never quite compare to a realistic experience. And even the richest game-world textures can’t match the real thing if you can’t touch them with your own two hands.

UK development team Tesla Studios (no connection to the cars) is aiming to fill those gaps between reality and virtual reality with the Tesla Suit; a full-body haptic feedback device allowing you to touch game environments and characters and let them touch you all over your body.

The main component of the Tesla Suit is the T-Belt which acts as the suit’s control unit. The belt is completely wireless and is intended to connect with all major brands of game consoles, VR headsets, and smartphones as well as PCs.

The belt also analyses your muscles in real-time, takes your temperature, gives massages, contains a motion capture system, corrects your posture, performs other data transmission, and – last but not least – it’s machine washable!

The next key piece in the Tesla suit is the T-Glove which provides haptic feedback and motion sensing much like the T-Belt. With these gloves you can touch things in the game which will transmit the sensation to your hand. The T-Glove is instrumental in providing tactile interaction between players.

For example, let’s say we were playing Call of Duty and I suddenly decided to stop with all the bloodshed and have us settle our differences with a tickle fight. My T-Gloves would be able to actually feel your ribcage with my fingertips so I could administer tickles with deadly precision. Meanwhile, your T-Belt would receive my tickle attack data and transmit it directly to your midsection, all in real-time.

▼ Oh generic Tomb Raider facsimile…I’mna give you such a pinch!



In addition to the T-Belt and T-Glove, the Tesla Suit is made up of several bands for the arms and legs. Spaces in between will be filled by a smart textile which contains a motion capture system and thousands of small points that deliver a wide range of pressures from a gentle breeze to a swift kick, along with temperature sensations.

The individual components all operate together wirelessly with each other and external devices using Bluetooth 4 LE. The belt runs on an ARM Cortex micro-controller.

Tesla Studios say that the first modules will hit the market around the middle of this year. Each piece of the Tesla Suit from the belt to the smart textile vest is considered an independent module apparently sold separately. However, they don’t say which (if not all) of those modules will be out first. The preorder section on their website is not open…yet.

There’s also no word on what kind of price tag this setup will come with, but for those looking for a true escape from reality it looks worth it. Imagine feeling the heat exhaust of an RPG hit your forehead as you launch, or the feeling of a chocobo’s back between your fingers as you saddle up for adventure.

The best would be if you were playing the new Silent Hill game and you suddenly feel something brush against your back in a dark hallway. Oh, wait. Forget that last one…

Source: Tesla Suit (English) via Game*Spark, Hachima Kiko (Japanese)

Video: YouTube – Tesla Studios DevTeam",https://soranews24.com/2015/05/13/virtual-reality-gear-tesla-suit-hopes-to-make-gaming-a-lot-more-touchy-feely/
"""Tesla in the skies"": Airbus to build 'E-Fan' electric plane",2015-05-03T04:00:00Z,Error fetching full content.,https://www.executivetraveller.com/tesla-in-the-skies-airbus-to-build-e-fan-electric-plane
"In major reversal, New Jersey allows Tesla to sell its cars directly, without dealerships",2015-03-18T18:32:56Z,"Almost exactly one year after it was banned from selling its cars directly in New Jersey, Tesla will be back in business in the Garden State. Governor Chris Christie signed into law a bill this afternoon that reversed last year’s ban. The new legislation comes with some limits. Tesla can only open a total of four direct sale dealerships and has to operate at least one service center. But it’s a major win following a heated war of words that saw Tesla CEO Elon Musk compare local dealers to a mafia protection racket subverting the democratic process.

A huge victory in New Jersey for consumer choice: We are open for business! @GovChristie — Tesla Motors (@TeslaMotors) March 18, 2015

New Jersey represented the fourth largest market for luxury automobiles — like Tesla’s Model S, which can tip the scales past $100,000 — trailing only New York, Florida, and California. So it’s a key win for the electric car company. Bans on direct sales have kept Tesla out of Virginia, Arizona, Texas, and Michigan. Legislators in some of those states are working on legislation similar to the reversal just passed by Christie.

Musk has argued in the past that direct sales are key to building out a fledgling industry. “We strongly believe it is vital to introduce our own vehicles to the market because electric cars are still a relatively new technology. This model is not just a matter of selling more cars and providing optimum consumer choice for Americans, but it is also about educating consumers about the benefits of going electric, which is central to our mission to accelerate the shift to sustainable transportation, a new paradigm in automotive technology.”

Local auto dealers saw things differently. “If you’re an internet billionaire, maybe you think the world revolves around you, and the world springs from your laptop,” Jim Appleton, the president of the New Jersey Coalition of Automobile Retailers, told The Verge last year. “Well, I got news for him. This is not a new law, Tesla is operating illegally, and as of April 1st, they will be out of business unless they decide to open a franchise.”

Of course, Musk also believes cars operated by humans will eventually be illegal. It’s unclear how we’ll shop for cars in a future where we never get to drive them.

Update: The New Jersey Coalition of Automobile Retailers sent along the following statement:",https://www.theverge.com/2015/3/18/8251821/tesla-new-jersey-direct-sales-dealerships-christie
